,"Surface-count
fidelity","Marginal
fidelity","Local
diversity",Novelty
CoDi,0.06474394711516947,0.0,0.8536579421028803,0.9865274406322584
SMOTE,1.0,1.0,0.0,0.0
STaSY,0.0,0.4074134789238829,1.0,1.0
TabSyn,0.965783133498657,0.7954394937072,0.811933365469866,0.9734374191322561
